Angle,Detector 2,Detector 4
0,586.8333333333334,892.0
10,1302.3055555555557,971.3333333333334
20,3123.7175925925926,882.2222222222223
30,5572.452932098765,750.0370370370371
30,5794.242155349794,721.5061728395061
40,7418.3736925583,642.917695473251
50,7893.395615426383,602.9862825788751
60,5874.5659359043975,713.8310470964792
70,3765.927655984066,734.1385078494131
80,1928.8212759973442,859.8564179749022
90,942.6368793328907,859.6427363291505
100,1294.106146555482,801.4404560548584
110,2872.8510244259137,742.9067426758097
120,4345.308504070986,707.484457112635
130,6013.384750678498,664.9140761854392
140,5938.897458446416,628.9856793642399
150,4835.816243074402,691.6642798940399
160,3272.1360405124,788.9440466490065
170,1675.5226734187333,877.3240077748345
180,903.7537789031222,917.7206679624724
